Model,Test mIoU,Val mIoU,IoU_plains,IoU_dunes,IoU_hummocky,IoU_lakes_seas,IoU_labyrinth,IoU_craters,Accuracy
dlv3_r50_focal,0.3711783256774697,0.4337237018517271,0.7389267091383898,0.3803638236644384,0.3163138011638776,0.515027433111646,0.2764381869864669,0.0,
unet_r34_focal,0.3495836561418478,0.4157515177785413,0.7329417581132329,0.3889939758150512,0.2843640319594691,0.47773722205751235,0.213464948905821,0.0,
domain_gap_random,0.3475188417065331,0.4169646495631359,0.7226737001985797,0.3869931934112471,0.2799893102680126,0.4780675179893714,0.21738932837198732,0.0,
RandomForest_baseline_v1,0.3393215698967747,,,,,,,,0.7356965174129353
domain_gap_frozen,0.3386288592150892,0.38964838623040693,0.7226738120038056,0.37439816649135943,0.2509495306318543,0.461541683159577,0.2222099630039386,0.0,
